attack1, attack2, accuracy
warezmaster, portsweep,0.743587352
portsweep, guess_passwd,0.731694635
back, portsweep,0.720116221
portsweep, phf,0.711445675
portsweep, land,0.709146968
portsweep, imap,0.707706053
portsweep, ftp_write,0.706920431
portsweep, multihop,0.706723891
perl, portsweep,0.70586133
teardrop, portsweep,0.705595781
ipsweep, portsweep,0.701640818
portsweep, spy,0.700571786
multihop, portsweep,0.70046495
portsweep, ipsweep,0.700382108
portsweep, warezmaster,0.699748158
nmap, portsweep,0.699592166
phf, portsweep,0.693754467
guess_passwd, portsweep,0.693500355
portsweep, back,0.691514959
satan, back,0.685533125
loadmodule, portsweep,0.682317727
portsweep, smurf,0.681552415
land, portsweep,0.681487108
pod, portsweep,0.680554934
neptune, guess_passwd,0.680415466
warezclient, portsweep,0.679799875
portsweep, nmap,0.672522745
portsweep, teardrop,0.672119424
back, neptune,0.671896394
ftp_write, portsweep,0.67144708
portsweep, loadmodule,0.671059685
portsweep, perl,0.666904932
neptune, back,0.66413738
imap, portsweep,0.66285459
rootkit, portsweep,0.66155634
smurf, portsweep,0.661203444
neptune, warezmaster,0.659328336
warezmaster, neptune,0.658206929
satan, portsweep,0.655581728
portsweep, buffer_overflow,0.649467942
spy, portsweep,0.647949611
buffer_overflow, portsweep,0.647724224
portsweep, pod,0.647079884
satan, warezclient,0.643479457
portsweep, rootkit,0.643141286
portsweep, satan,0.638954321
neptune, smurf,0.63895018
warezclient, neptune,0.638172975
guess_passwd, neptune,0.635266571
ipsweep, neptune,0.632818663
neptune, buffer_overflow,0.629428555
neptune, loadmodule,0.627229522
neptune, portsweep,0.626113931
neptune, land,0.624552573
portsweep, neptune,0.623857868
smurf, neptune,0.62362095
satan, spy,0.622798973
neptune, perl,0.620911378
loadmodule, neptune,0.620799553
neptune, ipsweep,0.620703257
portsweep, warezclient,0.620521755
imap, neptune,0.619702561
neptune, warezclient,0.619220663
teardrop, neptune,0.619132867
neptune, pod,0.618345848
perl, neptune,0.616941571
nmap, neptune,0.614516672
neptune, teardrop,0.614377622
phf, neptune,0.614201845
land, neptune,0.613143177
neptune, phf,0.612915851
neptune, nmap,0.61249579
neptune, satan,0.611881996
back, satan,0.610424728
warezmaster, satan,0.606019939
neptune, imap,0.604551046
satan, smurf,0.602421605
loadmodule, satan,0.601990278
satan, neptune,0.59998834
multihop, neptune,0.598578544
spy, neptune,0.598423436
neptune, ftp_write,0.597796913
phf, satan,0.596991654
ftp_write, neptune,0.595504361
pod, neptune,0.595259442
multihop, satan,0.59472235
smurf, satan,0.593529773
nmap, satan,0.593512767
neptune, multihop,0.591751077
neptune, spy,0.59160284
satan, ftp_write,0.591332263
buffer_overflow, satan,0.589911878
ipsweep, satan,0.588498638
ipsweep, ftp_write,0.587883388
satan, guess_passwd,0.587694999
buffer_overflow, neptune,0.587003974
neptune, rootkit,0.586550297
satan, buffer_overflow,0.586331926
satan, imap,0.5850415
teardrop, satan,0.58304276
pod, satan,0.582395369
warezclient, satan,0.581208731
satan, teardrop,0.580748761
satan, ipsweep,0.580375687
teardrop, ipsweep,0.579365788
satan, perl,0.578281207
rootkit, satan,0.57136958
satan, multihop,0.568563561
land, satan,0.56781799
spy, satan,0.566305943
satan, rootkit,0.565726084
rootkit, neptune,0.565514155
perl, satan,0.558378428
satan, loadmodule,0.553838393
satan, pod,0.553360592
guess_passwd, satan,0.551781115
multihop, ipsweep,0.548829521
satan, phf,0.546730258
imap, nmap,0.545551649
ftp_write, satan,0.544783307
phf, ipsweep,0.544598214
back, teardrop,0.544335198
satan, nmap,0.543593283
nmap, guess_passwd,0.538066764
ipsweep, teardrop,0.538008039
nmap, buffer_overflow,0.536792873
imap, satan,0.536020544
guess_passwd, nmap,0.533640944
warezmaster, nmap,0.530335408
smurf, nmap,0.52951158
nmap, ipsweep,0.525818442
ipsweep, nmap,0.522190873
nmap, warezmaster,0.517002694
satan, land,0.515802027
guess_passwd, ipsweep,0.515563743
nmap, ftp_write,0.513909289
satan, warezmaster,0.513516104
multihop, nmap,0.508596116
teardrop, nmap,0.506411969
perl, nmap,0.506409115
nmap, pod,0.50590753
nmap, loadmodule,0.505786007
nmap, teardrop,0.504630867
nmap, perl,0.503827666
nmap, imap,0.503493702
back, guess_passwd,0.503126044
buffer_overflow, nmap,0.502271715
nmap, multihop,0.502226973
warezmaster, guess_passwd,0.502160251
ipsweep, guess_passwd,0.501062775
guess_passwd, back,0.50097838
nmap, spy,0.499510458
spy, nmap,0.498531375
guess_passwd, smurf,0.496052695
nmap, land,0.49525887
ipsweep, back,0.495168534
nmap, rootkit,0.494678719
nmap, phf,0.4936799
nmap, warezclient,0.492167334
land, nmap,0.491875529
phf, nmap,0.49172156
nmap, smurf,0.490759
warezmaster, ipsweep,0.488209526
rootkit, nmap,0.487999288
ftp_write, nmap,0.48778208
warezclient, nmap,0.486693369
smurf, ipsweep,0.483783411
ipsweep, warezclient,0.482858673
guess_passwd, warezmaster,0.482276119
warezclient, ipsweep,0.482233729
smurf, guess_passwd,0.481619606
back, warezmaster,0.481544256
spy, guess_passwd,0.481512763
multihop, guess_passwd,0.480839673
warezmaster, back,0.480696798
ipsweep, smurf,0.479643005
guess_passwd, ftp_write,0.479187198
guess_passwd, warezclient,0.478791291
ipsweep, imap,0.478773269
back, land,0.477792307
perl, guess_passwd,0.476536837
back, ipsweep,0.47629633
guess_passwd, land,0.476179301
guess_passwd, phf,0.475692163
land, back,0.475582811
guess_passwd, perl,0.475504458
pod, guess_passwd,0.475106953
buffer_overflow, guess_passwd,0.475061056
multihop, back,0.474961653
teardrop, guess_passwd,0.474835681
guess_passwd, teardrop,0.474694836
back, smurf,0.474510897
guess_passwd, imap,0.474449815
smurf, back,0.473395604
perl, ipsweep,0.473303571
phf, guess_passwd,0.473205068
